,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.111109809032,0.0207804694676
1,ACCESS1-0,3.8,0.195426782885,
2,CanESM2,3.7,0.145165475438,
3,CCSM4,2.9,0.171061877356,
4,CNRM-CM5,3.3,0.138951989664,
5,CSIRO-Mk3-6-0,4.1,0.179290418207,
6,GFDL-ESM2M,2.4,0.141606653534,
7,HadGEM2-ES,4.6,0.246261656418,
8,inmcm4,2.1,0.0640324684036,
9,IPSL-CM5B-LR,2.6,0.15583418149,
10,MIROC-ESM,4.7,0.204508884602,
11,MPI-ESM-LR,3.6,0.146323293798,
12,MRI-CGCM3,2.6,0.0900569687366,
13,NorESM1-M,2.8,0.121653694474,
14,bcc-csm1-1,2.8,0.152531346199,
15,GISS-E2-R,2.1,0.116004764399,
16,BNU-ESM,4.1,0.136601436095,
17,bcc-csm1-1-m,2.9,0.124923037466,
18,GISS-E2-H,2.3,0.091933082779,
19,GFDL-ESM2G,2.4,0.16736848479,
20,IPSL-CM5A-LR,4.1,0.163935048229,
21,MIROC5,2.7,0.207198473462,
22,GFDL-CM3,4.0,0.293687103032,
